External ID,Date,Transaction Type,Transaction Number,Warehouse,Location ID,Display Name,Internal ID Vendor,Status By Today,Memo,Reference Number,Product Name,Discount Amount,Company Name,Discount %,Product Code,Internal ID Item,Description,Quantity,Unit,Unit Price,Discount Line %,Tax Rate,Tax Rate ID,Tax Amount,Taxable Amount per Line,Total per line,Gross Amount,Rate
SNI-10013,6/1/2022,Purchase Order,10013,Sedati,14,PT Forisa Nusapersada,668,Closed,,,**Pop Ice Chocolate 25g,0,,0,POP-0051,3025,,441,Karton,190700,0.20,10,5,8393050.26,83930502.6,83930502.6,92323552.86,190318.6
SNI-10013,6/1/2022,Purchase Order,10013,Sedati,14,PT Forisa Nusapersada,668,Closed,,,**Pop Ice Thunder Choco Malt 25g,0,,0,POP-0052,3026,,252,Karton,190700,0.20,10,5,4796028.72,47960287.2,47960287.2,52756315.92,190318.6
SNI-10013,6/1/2022,Purchase Order,10013,Sedati,14,PT Forisa Nusapersada,668,Closed,,,**Pop Ice Taro 25g,0,,0,POP-0053,3027,,50,Karton,190700,0.20,10,5,951593,9515930,9515930,10467523,190318.6
SNI-10013,6/1/2022,Purchase Order,10013,Sedati,14,PT Forisa Nusapersada,668,Closed,,,**Pop Ice Vanilla Blue 25g,0,,0,POP-0061,3035,,63,Karton,190700,0.20,10,5,1199007.18,11990071.8,11990071.8,13189078.98,190318.6
SNI-10013,6/1/2022,Purchase Order,10013,Sedati,14,PT Forisa Nusapersada,668,Closed,,,**Pop Ice Doger 25g,0,,0,POP-0062,3036,,20,Karton,190700,0.20,10,5,380637.2,3806372,3806372,4187009.2,190318.6
SNI-10013,6/1/2022,Purchase Order,10013,Sedati,14,PT Forisa Nusapersada,668,Closed,,,**Pop Ice Permen Karet 25g,0,,0,POP-0063,3037,,378,Karton,190700,0.20,10,5,7194043.08,71940430.8,71940430.8,79134473.88,190318.6
SNI-10013,6/1/2022,Purchase Order,10013,Sedati,14,PT Forisa Nusapersada,668,Closed,,,**Pop Ice Avocado 25g,0,,0,POP-0055,3029,,189,Karton,190700,0.20,10,5,3597021.54,35970215.4,35970215.4,39567236.94,190318.6
SNI-10013,6/1/2022,Purchase Order,10013,Sedati,14,PT Forisa Nusapersada,668,Closed,,,**Pop Ice Durian 25g,0,,0,POP-0066,3040,,50,Karton,190700,0.20,10,5,951593,9515930,9515930,10467523,190318.6
SNI-10013,6/1/2022,Purchase Order,10013,Sedati,14,PT Forisa Nusapersada,668,Closed,,,**Pop Ice Anggur 25g,0,,0,POP-0078,3052,,46,Karton,190700,0.20,10,5,875465.56,8754655.6,8754655.6,9630121.16,190318.6
SNI-10013,6/1/2022,Purchase Order,10013,Sedati,14,PT Forisa Nusapersada,668,Closed,,,**Pop Ice Melon 25g,0,,0,POP-0056,3030,,50,Karton,190700,0.20,10,5,951593,9515930,9515930,10467523,190318.6
SNI-10013,6/1/2022,Purchase Order,10013,Sedati,14,PT Forisa Nusapersada,668,Closed,,,**Pop Ice Lychee 25g,0,,0,POP-0073,3047,,30,Karton,190700,0.20,10,5,570955.8,5709558,5709558,6280513.8,190318.6
SNI-10013,6/1/2022,Purchase Order,10013,Sedati,14,PT Forisa Nusapersada,668,Closed,,,**Pop Ice Mango 25g,0,,0,POP-0057,3031,,189,Karton,190700,0.20,10,5,3597021.54,35970215.4,35970215.4,39567236.94,190318.6
SNI-10013,6/1/2022,Purchase Order,10013,Sedati,14,PT Forisa Nusapersada,668,Closed,,,**Pop Ice Strawberry 25g,0,,0,POP-0058,3032,,126,Karton,190700,0.20,10,5,2398014.36,23980143.6,23980143.6,26378157.96,190318.6
SNI-10013,6/1/2022,Purchase Order,10013,Sedati,14,PT Forisa Nusapersada,668,Closed,,,**Pop Ice Yogurt Strawberry 25g,0,,0,POP-0075,3049,,50,Karton,190700,0.20,10,5,951593,9515930,9515930,10467523,190318.6
SNI-10013,6/1/2022,Purchase Order,10013,Sedati,14,PT Forisa Nusapersada,668,Closed,,,**Anget Sari Wedang Jahe 24g,0,,0,ASR-0002,2972,,48,Karton,171700,0.20,10,5,822511.68,8225116.8,8225116.8,9047628.48,171356.6
SNI-10013,6/1/2022,Purchase Order,10013,Sedati,14,PT Forisa Nusapersada,668,Closed,,,**Agarasa Chocolate 22g - Inner Box,0,,0,AGR-0001,2966,,15,Karton,189244,0.20,10,5,283298.268,2832982.68,2832982.68,3116280.948,188865.512
SNI-10013,6/1/2022,Purchase Order,10013,Sedati,14,PT Forisa Nusapersada,668,Closed,,,**Agarasa Vanilla 10g - Inner Box,0,,0,AGR-0006,3070,,10,Karton,160780,0.20,10,5,160458.44,1604584.4,1604584.4,1765042.84,160458.44
SNI-10013,6/1/2022,Purchase Order,10013,Sedati,14,PT Forisa Nusapersada,668,Closed,,,**Agarasa Melon 10g - Inner Box,0,,0,AGR-0004,2969,,5,Karton,160776,0.20,10,5,80227.224,802272.24,802272.24,882499.464,160454.448
SNI-10013,6/1/2022,Purchase Order,10013,Sedati,14,PT Forisa Nusapersada,668,Closed,,,**Nutrijell Plain 15g,0,,0,NJL-0031,3010,,10,Karton,463529,0.20,10,5,462601.942,4626019.42,4626019.42,5088621.362,462601.942
SNI-10013,6/1/2022,Purchase Order,10013,Sedati,14,PT Forisa Nusapersada,668,Closed,,,**Nutrijell Ekonomis Cincau 10g,0,,0,NJL-0033,3014,,10,Karton,176730,0.20,10,5,176376.54,1763765.4,1763765.4,1940141.94,176376.54
SNI-10013,6/1/2022,Purchase Order,10013,Sedati,14,PT Forisa Nusapersada,668,Closed,,,**Nutrijell Ekonomis Anggur 10g,0,,0,NJL-0043,3011,,5,Karton,176730,0.20,10,5,88188.27,881882.7,881882.7,970070.97,176376.54
SNI-10013,6/1/2022,Purchase Order,10013,Sedati,14,PT Forisa Nusapersada,668,Closed,,,**Nutrijell Ekonomis Jambu 10g,0,,0,NJL-0034,3015,,5,Karton,176730,0.20,10,5,88188.27,881882.7,881882.7,970070.97,176376.54
SNI-10013,6/1/2022,Purchase Order,10013,Sedati,14,PT Forisa Nusapersada,668,Closed,,,**Nutrijell Ekonomis Jeruk 10g,0,,0,NJL-0038,3019,,15,Karton,176730,0.20,10,5,264564.81,2645648.1,2645648.1,2910212.91,176376.54
SNI-10013,6/1/2022,Purchase Order,10013,Sedati,14,PT Forisa Nusapersada,668,Closed,,,**Nutrijell Ekonomis Strawberry 10g,0,,0,NJL-0039,3020,,50,Karton,176730,0.20,10,5,881882.7,8818827,8818827,9700709.7,176376.54
SNI-10013,6/1/2022,Purchase Order,10013,Sedati,14,PT Forisa Nusapersada,668,Closed,,,**Nutrijell Ekonomis Plain 10g,0,,0,NJL-0040,3021,,10,Karton,176730,0.20,10,5,176376.54,1763765.4,1763765.4,1940141.94,176376.54
SNI-10013,6/1/2022,Purchase Order,10013,Sedati,14,PT Forisa Nusapersada,668,Closed,,,**Nutrijell Pudding Susu Vanilla 140g,0,,0,NJL-0016,2995,,5,Karton,210950,0.20,10,5,105264.05,1052640.5,1052640.5,1157904.55,210528.1
SNI-10013,6/1/2022,Purchase Order,10013,Sedati,14,PT Forisa Nusapersada,668,Closed,,,**Nutrijell Pudding Susu Melon 145g,0,,0,NJL-0017,2996,,5,Karton,210950,0.20,10,5,105264.05,1052640.5,1052640.5,1157904.55,210528.1
SNI-10013,6/1/2022,Purchase Order,10013,Sedati,14,PT Forisa Nusapersada,668,Closed,,,**Nutrijell Pudding Susu Mangga 130g,0,,0,NJL-0018,2997,,5,Karton,210950,0.20,10,5,105264.05,1052640.5,1052640.5,1157904.55,210528.1
SNI-10013,6/1/2022,Purchase Order,10013,Sedati,14,PT Forisa Nusapersada,668,Closed,,,**Nutrijell Pudding Susu Strawberry 145g,0,,0,NJL-0019,2998,,15,Karton,210950,0.20,10,5,315792.15,3157921.5,3157921.5,3473713.65,210528.1
SNI-10013,6/1/2022,Purchase Order,10013,Sedati,14,PT Forisa Nusapersada,668,Closed,,,**Nutrijell Pudding Santan Pandan 130g,0,,0,NJL-0020,2999,,5,Karton,210950,0.20,10,5,105264.05,1052640.5,1052640.5,1157904.55,210528.1
SNI-10013,6/1/2022,Purchase Order,10013,Sedati,14,PT Forisa Nusapersada,668,Closed,,,**Nutrijell Pudding Lapis Gula Jawa 100g,0,,0,NJL-0021,3000,,5,Karton,210950,0.20,10,5,105264.05,1052640.5,1052640.5,1157904.55,210528.1
SNI-10013,6/1/2022,Purchase Order,10013,Sedati,14,PT Forisa Nusapersada,668,Closed,,,**Nutrijell Pudding Lapis Cocopandan 110g,0,,0,NJL-0022,3001,,5,Karton,210950,0.20,10,5,105264.05,1052640.5,1052640.5,1157904.55,210528.1
SNI-10013,6/1/2022,Purchase Order,10013,Sedati,14,PT Forisa Nusapersada,668,Closed,,,**Silky Pudding Biscuit 155g,0,,0,SPD-0006,3058,,5,Karton,112440,0.20,10,5,56107.56,561075.6,561075.6,617183.16,112215.12
SNI-10013,6/1/2022,Purchase Order,10013,Sedati,14,PT Forisa Nusapersada,668,Closed,,,**Silky Pudding Chocolate 155g,0,,0,SPD-0005,3057,,5,Karton,112440,0.20,10,5,56107.56,561075.6,561075.6,617183.16,112215.12
SNI-10013,6/1/2022,Purchase Order,10013,Sedati,14,PT Forisa Nusapersada,668,Closed,,,**Silky Pudding Taro 155g,0,,0,SPD-0004,3056,,5,Karton,112440,0.20,10,5,56107.56,561075.6,561075.6,617183.16,112215.12
SNI-10013,6/1/2022,Purchase Order,10013,Sedati,14,PT Forisa Nusapersada,668,Closed,,,**Silky Pudding Gummy 155g,0,,0,SPD-0003,3055,,5,Karton,112440,0.20,10,5,56107.56,561075.6,561075.6,617183.16,112215.12
SNI-10013,6/1/2022,Purchase Order,10013,Sedati,14,PT Forisa Nusapersada,668,Closed,,,**Silky Pudding Avocado 155g,0,,0,SPD-0002,3054,,5,Karton,112440,0.20,10,5,56107.56,561075.6,561075.6,617183.16,112215.12
SNI-10013,6/1/2022,Purchase Order,10013,Sedati,14,PT Forisa Nusapersada,668,Closed,,,**Silky Pudding Peach 155g,0,,0,SPD-0001,3053,,5,Karton,112440,0.20,10,5,56107.56,561075.6,561075.6,617183.16,112215.12
SNI-10013,6/1/2022,Purchase Order,10013,Sedati,14,PT Forisa Nusapersada,668,Closed,,,**My Vla Chocolate 63g,0,,0,MVL-0002,2981,,5,Karton,254710,0.20,10,5,127100.29,1271002.9,1271002.9,1398103.19,254200.58
SNI-10013,6/1/2022,Purchase Order,10013,Sedati,14,PT Forisa Nusapersada,668,Closed,,,**My Vla Vanilla 60g,0,,0,MVL-0001,2980,,20,Karton,254710,0.20,10,5,508401.16,5084011.6,5084011.6,5592412.76,254200.58
SNI-10013,6/1/2022,Purchase Order,10013,Sedati,14,PT Forisa Nusapersada,668,Closed,,,**Perkedelku Original 50g,0,,0,PKD-0001,3024,,5,Karton,344400,0.20,10,5,171855.6,1718556,1718556,1890411.6,343711.2
SNI-10013,6/1/2022,Purchase Order,10013,Sedati,14,PT Forisa Nusapersada,668,Closed,,,**Anget Sari Susu Jahe 25g,0,,0,ASR-0001,2971,,50,Karton,178730,0.20,10,5,891862.7,8918627,8918627,9810489.7,178372.54
SNI-10013,6/1/2022,Purchase Order,10013,Sedati,14,PT Forisa Nusapersada,668,Closed,,,**Pop Ice Vanilla Latte 25g,0,,0,POP-0071,3045,,54,Karton,190700,0.20,10,5,1027720.44,10277204.4,10277204.4,11304924.84,190318.6
SNI-10013,6/1/2022,Purchase Order,10013,Sedati,14,PT Forisa Nusapersada,668,Closed,,,**Nutrijell Ekonomis Coklat 20gr,0,,0,NJL-0007,2986,,20,Karton,257620,0.20,10,5,514209.52,5142095.2,5142095.2,5656304.72,257104.76
SNI-10013,6/1/2022,Purchase Order,10013,Sedati,14,PT Forisa Nusapersada,668,Closed,,,**Pop Ice Mango 25g,0,,0,POP-0057,3031,,441,Karton,190700,0.20,10,5,8393050.26,83930502.6,83930502.6,92323552.86,190318.6
SNI-10013,6/1/2022,Purchase Order,10013,Sedati,14,PT Forisa Nusapersada,668,Closed,,,**Nutrijell Pudding Susu Belgian Chocolate 145g,0,,0,NJL-0045,3069,,15,Karton,228200,0.20,10,5,341615.4,3416154,3416154,3757769.4,227743.6
SNI-10014,14/01/2022,Purchase Order,10014,Sedati,14,PT Forisa Nusapersada,668,Closed,,,**Pop Ice Chocolate 25g,0,,0,POP-0051,3025,,817,Karton,190700,0.20,10,5,15549029.62,155490296.2,155490296.2,171039325.8,190318.6
SNI-10014,14/01/2022,Purchase Order,10014,Sedati,14,PT Forisa Nusapersada,668,Closed,,,**Pop Ice Vanilla Blue 25g,0,,0,POP-0061,3035,,187,Karton,190700,0.20,10,5,3558957.82,35589578.2,35589578.2,39148536.02,190318.6
SNI-10014,14/01/2022,Purchase Order,10014,Sedati,14,PT Forisa Nusapersada,668,Closed,,,**Pop Ice Permen Karet 25g,0,,0,POP-0063,3037,,42,Karton,190700,0.20,10,5,799338.12,7993381.2,7993381.2,8792719.32,190318.6
SNI-10014,14/01/2022,Purchase Order,10014,Sedati,14,PT Forisa Nusapersada,668,Closed,,,**Pop Ice Melon 25g,0,,0,POP-0056,3030,,50,Karton,190700,0.20,10,5,951593,9515930,9515930,10467523,190318.6
SNI-10014,14/01/2022,Purchase Order,10014,Sedati,14,PT Forisa Nusapersada,668,Closed,,,**Pop Ice Mango 25g,0,,0,POP-0057,3031,,70,Karton,190700,0.20,10,5,1332230.2,13322302,13322302,14654532.2,190318.6
SNI-10014,14/01/2022,Purchase Order,10014,Sedati,14,PT Forisa Nusapersada,668,Closed,,,**Pop Ice Strawberry 25g,0,,0,POP-0058,3032,,124,Karton,190700,0.20,10,5,2359950.64,23599506.4,23599506.4,25959457.04,190318.6
SNI-10014,14/01/2022,Purchase Order,10014,Sedati,14,PT Forisa Nusapersada,668,Closed,,,**Pop Ice Coklat Biskuit 25g,0,,0,POP-0059,3033,,87,Karton,190700,0.20,10,5,1655771.82,16557718.2,16557718.2,18213490.02,190318.6
SNI-10014,14/01/2022,Purchase Order,10014,Sedati,14,PT Forisa Nusapersada,668,Closed,,,**Pop Ice Vanilla Latte 25g,0,,0,POP-0071,3045,,146,Karton,190700,0.20,10,5,2778651.56,27786515.6,27786515.6,30565167.16,190318.6
SNI-10014,14/01/2022,Purchase Order,10014,Sedati,14,PT Forisa Nusapersada,668,Closed,,,**Anget Sari Wedang Jahe 24g,0,,0,ASR-0002,2972,,102,Karton,171700,0.20,10,5,1747837.32,17478373.2,17478373.2,19226210.52,171356.6
SNI-10014,14/01/2022,Purchase Order,10014,Sedati,14,PT Forisa Nusapersada,668,Closed,,,**Anget Sari Susu Jahe 25g,0,,0,ASR-0001,2971,,50,Karton,178730,0.20,10,5,891862.7,8918627,8918627,9810489.7,178372.54
SNI-10014,14/01/2022,Purchase Order,10014,Sedati,14,PT Forisa Nusapersada,668,Closed,,,**Pop Ice Coklat Biskuit 25g,0,,0,POP-0059,3033,,63,Karton,190700,0.20,10,5,1199007.18,11990071.8,11990071.8,13189078.98,190318.6
SNI-10014,14/01/2022,Purchase Order,10014,Sedati,14,PT Forisa Nusapersada,668,Closed,,,**Agarasa Vanilla 10g - Inner Box,0,,0,AGR-0006,3070,,10,Karton,160780,0.20,10,5,160458.44,1604584.4,1604584.4,1765042.84,160458.44
SNI-10014,14/01/2022,Purchase Order,10014,Sedati,14,PT Forisa Nusapersada,668,Closed,,,**Pop Ice Avocado 25g,0,,0,POP-0055,3029,,315,Karton,190700,0.20,10,5,5995035.9,59950359,59950359,65945394.9,190318.6
SNI-10014,14/01/2022,Purchase Order,10014,Sedati,14,PT Forisa Nusapersada,668,Closed,,,**Pop Ice Thunder Choco Malt 25g,0,,0,POP-0052,3026,,252,Karton,190700,0.20,10,5,4796028.72,47960287.2,47960287.2,52756315.92,190318.6
SNI-10015,20/01/2022,Purchase Order,10015,Sedati,14,PT Forisa Nusapersada,668,Closed,,,**Pop Ice Chocolate 25g,0,,0,POP-0051,3025,,1260,Karton,190700,0.20,10,5,23980143.6,239801436,239801436,263781579.6,190318.6
SNI-10015,20/01/2022,Purchase Order,10015,Sedati,14,PT Forisa Nusapersada,668,Closed,,,**Pop Ice Thunder Choco Malt 25g,0,,0,POP-0052,3026,,378,Karton,190700,0.20,10,5,7194043.08,71940430.8,71940430.8,79134473.88,190318.6
SNI-10015,20/01/2022,Purchase Order,10015,Sedati,14,PT Forisa Nusapersada,668,Closed,,,**Pop Ice Avocado 25g,0,,0,POP-0055,3029,,696,Karton,190700,0.20,10,5,13246174.56,132461745.6,132461745.6,145707920.2,190318.6
SNI-10015,20/01/2022,Purchase Order,10015,Sedati,14,PT Forisa Nusapersada,668,Closed,,,**Pop Ice Chocolate 25g,0,,0,POP-0051,3025,,252,Karton,190700,0.20,10,5,4796028.72,47960287.2,47960287.2,52756315.92,190318.6
SNI-10016,24/01/2022,Purchase Order,10016,Sedati,14,PT Forisa Nusapersada,668,Closed,Mohon dibayarkan sesuai dengan amount to transfer Rp545.582.670 karena ada pembulatan pada sistemnya.,,**Nutrijell Ekonomis Coklat 20gr,0,,0,NJL-0007,2986,,80,Karton,257620,0.20,10,5,2056838.08,20568380.8,20568380.8,22625218.88,257104.76
SNI-10016,24/01/2022,Purchase Order,10016,Sedati,14,PT Forisa Nusapersada,668,Closed,Mohon dibayarkan sesuai dengan amount to transfer Rp545.582.670 karena ada pembulatan pada sistemnya.,,**Pop Ice Chocolate 25g,0,,0,POP-0051,3025,,2180,Karton,190700,0.20,10,5,41489454.8,414894548,414894548,456384002.8,190318.6
SNI-10016,24/01/2022,Purchase Order,10016,Sedati,14,PT Forisa Nusapersada,668,Closed,Mohon dibayarkan sesuai dengan amount to transfer Rp545.582.670 karena ada pembulatan pada sistemnya.,,**Pop Ice Thunder Choco Malt 25g,0,,0,POP-0052,3026,,318,Karton,190700,0.20,10,5,6052131.48,60521314.8,60521314.8,66573446.28,190318.6
