Transaction,TransactionNumber,TransactionDate,Created At,Account Number,InternalIDAccHeader,Account,Accunt Line,InternalIdAccountline ,Description,Debit,Credit
Bank Deposit,10146,19/01/2022,created on 27/01/2022 10:19:28,1-10101,1114,Bank BCA IDR 1 - Purchase (8887),9-90006,636,Rounding Gain/Loss - PEMBULATAN,4.27,0
Bank Deposit,10151,19/01/2022,created on 28/01/2022 10:12:56,1-10101,1114,Bank BCA IDR 1 - Purchase (8887),9-90006,636,Rounding Gain/Loss - PEMBULATAN,128,0
Bank Deposit,10142,20/01/2022,created on 22/01/2022 13:22:20,1-10101,1114,Bank BCA IDR 1 - Purchase (8887),2-20200,1103,Deposits from Customer - PEMBAYARAN CONSIGNMENT SNI,500000000,0
Bank Deposit,10147,20/01/2022,created on 27/01/2022 10:34:30,1-10101,1114,Bank BCA IDR 1 - Purchase (8887),9-90006,636,Rounding Gain/Loss - PEMBULATAN,98.14,0
Bank Deposit,10148,20/01/2022,created on 27/01/2022 10:37:38,1-10101,1114,Bank BCA IDR 1 - Purchase (8887),9-90006,636,Rounding Gain/Loss - PEMBULATAN,0.07,0
Bank Deposit,10152,20/01/2022,created on 28/01/2022 10:25:54,1-10101,1114,Bank BCA IDR 1 - Purchase (8887),9-90006,636,Rounding Gain/Loss - PEMBULATAN,86,0
Bank Deposit,10179,20/01/2022,created on 09/02/2022 19:17:19,1-10101,1114,Bank BCA IDR 1 - Purchase (8887),9-90006,636,Rounding Gain/Loss - PEMBULATAN,0.56,0
Bank Deposit,10149,21/01/2022,created on 27/01/2022 10:48:24,1-10101,1114,Bank BCA IDR 1 - Purchase (8887),9-90006,636,Rounding Gain/Loss - PEMBULATAN,5.98,0
Bank Deposit,10153,21/01/2022,created on 28/01/2022 10:30:02,1-10101,1114,Bank BCA IDR 1 - Purchase (8887),9-90006,636,Rounding Gain/Loss - PEMBULATAN,71,0
Bank Deposit,10175,24/01/2022,created on 04/02/2022 10:41:05,1-10101,1114,Bank BCA IDR 1 - Purchase (8887),2-20200,1103,Deposits from Customer - PEMBAYARAN CONSIGNMENT SNI,500000000,0
Bank Deposit,10155,25/01/2022,created on 01/02/2022 13:04:10,1-10101,1114,Bank BCA IDR 1 - Purchase (8887),9-90006,636,Rounding Gain/Loss - PEMBULATAN,64,0
Bank Deposit,10165,25/01/2022,created on 02/02/2022 14:58:50,1-10101,1114,Bank BCA IDR 1 - Purchase (8887),9-90006,636,Rounding Gain/Loss - PEMBULATAN,36,0
Bank Deposit,10170,25/01/2022,created on 02/02/2022 17:02:58,1-10101,1114,Bank BCA IDR 1 - Purchase (8887),9-90006,636,Rounding Gain/Loss - PEMBULATAN,34,0
Bank Deposit,10173,25/01/2022,created on 04/02/2022 10:38:40,1-10101,1114,Bank BCA IDR 1 - Purchase (8887),2-20200,1103,Deposits from Customer - PEMBAYARAN CONSIGNMENT SNI,1358528195,0
Bank Deposit,10174,25/01/2022,created on 04/02/2022 10:40:05,1-10101,1114,Bank BCA IDR 1 - Purchase (8887),2-20200,1103,Deposits from Customer - PEMBAYARAN CONSIGNMENT SNI,50281592.02,0
Bank Deposit,10169,26/01/2022,created on 02/02/2022 17:00:42,1-10101,1114,Bank BCA IDR 1 - Purchase (8887),9-90006,636,Rounding Gain/Loss - PEMBULATAN,11,0
Bank Deposit,10154,27/01/2022,created on 31/01/2022 16:54:35,1-10102,1115,Bank BCA IDR 2 - Operational,9-90006,636,Rounding Gain/Loss - ROUNDING,1,0
Bank Deposit,10156,27/01/2022,created on 01/02/2022 13:35:14,1-10101,1114,Bank BCA IDR 1 - Purchase (8887),9-90006,636,Rounding Gain/Loss - PEMBULATAN,263.2,0
Bank Deposit,10168,27/01/2022,created on 02/02/2022 16:59:31,1-10101,1114,Bank BCA IDR 1 - Purchase (8887),9-90006,636,Rounding Gain/Loss - PEMBULATAN,12,0
Bank Deposit,10157,28/01/2022,created on 01/02/2022 13:40:49,1-10101,1114,Bank BCA IDR 1 - Purchase (8887),9-90006,636,Rounding Gain/Loss - PEMBULATAN,98.22,0
Bank Deposit,10176,28/01/2022,created on 04/02/2022 10:44:19,1-10101,1114,Bank BCA IDR 1 - Purchase (8887),2-20200,1103,Deposits from Customer - PEMBAYARAN CONSIGNMENT SNI,10000000,0
Bank Deposit,10177,28/01/2022,created on 04/02/2022 10:44:50,1-10101,1114,Bank BCA IDR 1 - Purchase (8887),2-20200,1103,Deposits from Customer - PEMBAYARAN CONSIGNMENT SNI,90000000,0
Bank Deposit,10158,31/01/2022,created on 01/02/2022 13:52:12,1-10101,1114,Bank BCA IDR 1 - Purchase (8887),9-90006,636,Rounding Gain/Loss - PEMBULATAN,34.86,0
Bank Deposit,10159,31/01/2022,created on 01/02/2022 13:53:16,1-10101,1114,Bank BCA IDR 1 - Purchase (8887),9-90006,636,Rounding Gain/Loss - PEMBULATAN,40.04,0
Bank Deposit,10166,31/01/2022,created on 02/02/2022 16:55:38,1-10101,1114,Bank BCA IDR 1 - Purchase (8887),9-90006,636,Rounding Gain/Loss - PEMBULATAN,10,0
Bank Deposit,10167,31/01/2022,created on 02/02/2022 16:58:20,1-10101,1114,Bank BCA IDR 1 - Purchase (8887),9-90006,636,Rounding Gain/Loss - PEMBULATAN,70,0
Bank Deposit,10172,31/01/2022,created on 04/02/2022 10:16:08,1-10102,1115,Bank BCA IDR 2 - Operational,6-60001,234,Salaries - KR OTOMATIS TOLAKAN KU (MH18 NAMA DAN REK BEDA BIAYA 0000000,3732821,0
Bank Deposit,10178,31/01/2022,created on 09/02/2022 16:30:11,1-10102,1115,Bank BCA IDR 2 - Operational,8-80001,625,Interest Income - BUNGA,5865.57,0
Bank Deposit,10180,3/2/2022,created on 19/02/2022 08:59:36,1-10101,1114,Bank BCA IDR 1 - Purchase (8887),9-90006,636,Rounding Gain/Loss - PEMBULATAN,89.43,0
Bank Deposit,10181,3/2/2022,created on 19/02/2022 09:05:39,1-10101,1114,Bank BCA IDR 1 - Purchase (8887),9-90006,636,Rounding Gain/Loss - PEMBULATAN,7,0
Bank Deposit,10209,4/2/2022,created on 02/03/2022 19:36:31,1-10101,1114,Bank BCA IDR 1 - Purchase (8887),9-90006,636,Rounding Gain/Loss - PEMBULATAN,4.76,0
Bank Deposit,10182,8/2/2022,created on 19/02/2022 09:19:34,1-10101,1114,Bank BCA IDR 1 - Purchase (8887),9-90006,636,Rounding Gain/Loss - PEMBULATAN,67.59,0
Bank Deposit,10186,9/2/2022,created on 21/02/2022 11:36:14,1-10101,1114,Bank BCA IDR 1 - Purchase (8887),9-90006,636,Rounding Gain/Loss - PEMBULATAN,61,0
Bank Deposit,10183,10/2/2022,created on 21/02/2022 10:08:34,1-10101,1114,Bank BCA IDR 1 - Purchase (8887),9-90006,636,Rounding Gain/Loss - PEMBULATAN,45.77,0
Bank Deposit,10184,11/2/2022,created on 21/02/2022 10:18:47,1-10101,1114,Bank BCA IDR 1 - Purchase (8887),9-90006,636,Rounding Gain/Loss - PEMBULATAN,82.34,0
Bank Deposit,10185,11/2/2022,created on 21/02/2022 10:23:02,1-10101,1114,Bank BCA IDR 1 - Purchase (8887),9-90006,636,Rounding Gain/Loss - PEMBULATAN,0.04,0
Bank Deposit,10187,11/2/2022,created on 21/02/2022 11:37:27,1-10101,1114,Bank BCA IDR 1 - Purchase (8887),9-90006,636,Rounding Gain/Loss - PEMBULATAN,88,0
Bank Deposit,10188,15/02/2022,created on 21/02/2022 11:38:15,1-10101,1114,Bank BCA IDR 1 - Purchase (8887),9-90006,636,Rounding Gain/Loss - PEMBULATAN,56,0
Bank Deposit,10189,15/02/2022,created on 21/02/2022 11:39:13,1-10101,1114,Bank BCA IDR 1 - Purchase (8887),9-90006,636,Rounding Gain/Loss - PEMBULATAN,20.1,0
Bank Deposit,10190,15/02/2022,created on 22/02/2022 10:47:46,1-10102,1115,Bank BCA IDR 2 - Operational,9-90006,636,Rounding Gain/Loss - rounding,1,0
Bank Deposit,10191,15/02/2022,created on 22/02/2022 10:48:03,1-10102,1115,Bank BCA IDR 2 - Operational,9-90006,636,Rounding Gain/Loss - rounding,1.5,0
Bank Deposit,10210,15/02/2022,created on 02/03/2022 19:50:17,1-10101,1114,Bank BCA IDR 1 - Purchase (8887),9-90006,636,Rounding Gain/Loss - PEMBULATAN,20,0
Bank Deposit,10193,16/02/2022,created on 23/02/2022 12:01:44,1-10101,1114,Bank BCA IDR 1 - Purchase (8887),9-90006,636,Rounding Gain/Loss - PEMBULATAN,91.23,0
Bank Deposit,10194,16/02/2022,created on 23/02/2022 12:06:57,1-10101,1114,Bank BCA IDR 1 - Purchase (8887),9-90006,636,Rounding Gain/Loss - PEMBULATAN,8.44,0
Bank Deposit,10196,17/02/2022,created on 23/02/2022 14:00:45,1-10101,1114,Bank BCA IDR 1 - Purchase (8887),9-90006,636,Rounding Gain/Loss - PEMBULATAN,50,0
Bank Deposit,10197,18/02/2022,created on 23/02/2022 14:01:40,1-10101,1114,Bank BCA IDR 1 - Purchase (8887),9-90006,636,Rounding Gain/Loss - PEMBULATAN,23,0
Bank Deposit,10199,18/02/2022,created on 24/02/2022 09:14:00,1-10101,1114,Bank BCA IDR 1 - Purchase (8887),9-90006,636,Rounding Gain/Loss - PEMBULATAN,48.62,0
Bank Deposit,10203,18/02/2022,created on 01/03/2022 10:45:11,1-10101,1114,Bank BCA IDR 1 - Purchase (8887),2-20200,1103,Deposits from Customer - PEMBAYARAN CONSIGNMENT SNI,50000000,0
Bank Deposit,10195,21/02/2022,created on 23/02/2022 13:45:37,1-10101,1114,Bank BCA IDR 1 - Purchase (8887),9-90006,636,Rounding Gain/Loss - PEMBULATAN,51.76,0
Bank Deposit,10198,21/02/2022,created on 23/02/2022 14:02:38,1-10101,1114,Bank BCA IDR 1 - Purchase (8887),9-90006,636,Rounding Gain/Loss - PEMBULATAN,32,0
Bank Deposit,10200,22/02/2022,created on 01/03/2022 10:16:52,1-10101,1114,Bank BCA IDR 1 - Purchase (8887),9-90006,636,Rounding Gain/Loss - PEMBULATAN,30.25,0
Bank Deposit,10211,22/02/2022,created on 02/03/2022 19:55:29,1-10101,1114,Bank BCA IDR 1 - Purchase (8887),5-50100,838,Purchase Discounts - CASHBACK PT ESPAY DE,198000,0
Bank Deposit,10201,24/02/2022,created on 01/03/2022 10:21:27,1-10101,1114,Bank BCA IDR 1 - Purchase (8887),9-90006,636,Rounding Gain/Loss - PEMBULATAN,0.7,0
Bank Deposit,10202,24/02/2022,created on 01/03/2022 10:26:35,1-10101,1114,Bank BCA IDR 1 - Purchase (8887),9-90006,636,Rounding Gain/Loss - PEMBULATAN,52,0
Bank Deposit,10205,24/02/2022,created on 01/03/2022 12:18:54,1-10101,1114,Bank BCA IDR 1 - Purchase (8887),9-90006,636,Rounding Gain/Loss - PEMBULATAN,60.47,0
Bank Deposit,10207,24/02/2022,created on 02/03/2022 18:32:02,1-10101,1114,Bank BCA IDR 1 - Purchase (8887),2-20200,1103,Deposits from Customer - PINJAMAN DARI KKA,400000000,0
Bank Deposit,10208,24/02/2022,created on 02/03/2022 19:30:28,1-10101,1114,Bank BCA IDR 1 - Purchase (8887),9-90006,636,Rounding Gain/Loss - PEMBULATAN,2.44,0
Bank Deposit,10206,25/02/2022,created on 02/03/2022 10:21:50,1-10101,1114,Bank BCA IDR 1 - Purchase (8887),9-90006,636,Rounding Gain/Loss - PEMBULATAN,8,0
Bank Deposit,10263,25/02/2022,created on 06/04/2022 11:44:29,1-10106,1148,   Bank OCBC Giro Smart,8-80001,625,Interest Income - Bunga Rekening,631849,0
Bank Deposit,10204,28/02/2022,created on 01/03/2022 10:56:30,1-10102,1115,Bank BCA IDR 2 - Operational,8-80001,625,Interest Income - PENDAPATAN BUNGA FEBRUARI 2022,8157.55,0
Bank Deposit,10212,1/3/2022,created on 02/03/2022 20:01:25,1-10099,319,Petty Cash x,1-10453,979,"Prepayment - Trade - Purchase Payment #10257, Purchase Payment #10258",520669194.8,0
Bank Deposit,10213,1/3/2022,created on 20/03/2022 15:28:10,1-10102,1115,Bank BCA IDR 2 - Operational,9-90006,636,Rounding Gain/Loss - Rounding,1,0
Bank Deposit,10214,1/3/2022,created on 20/03/2022 15:39:03,1-10102,1115,Bank BCA IDR 2 - Operational,9-90006,636,Rounding Gain/Loss - Rounding,1,0
Bank Deposit,10216,2/3/2022,created on 25/03/2022 11:38:20,1-10101,1114,Bank BCA IDR 1 - Purchase (8887),9-90006,636,Rounding Gain/Loss - PEMBULATAN,51.93,0
Bank Deposit,10217,4/3/2022,created on 31/03/2022 10:03:34,1-10101,1114,Bank BCA IDR 1 - Purchase (8887),9-90006,636,Rounding Gain/Loss - PEMBULATAN,76.63,0
Bank Deposit,10218,4/3/2022,created on 31/03/2022 12:04:41,1-10101,1114,Bank BCA IDR 1 - Purchase (8887),9-90006,636,Rounding Gain/Loss - PEMBULATAN,0.35,0
Bank Deposit,10219,4/3/2022,created on 31/03/2022 17:11:43,1-10101,1114,Bank BCA IDR 1 - Purchase (8887),9-90006,636,Rounding Gain/Loss - PEMBULATAN,39,0
Bank Deposit,10260,4/3/2022,created on 03/04/2022 22:14:25,1-10101,1114,Bank BCA IDR 1 - Purchase (8887),2-20402,1086,Other Current Liabilities - KKA - PINJAMAN DARI KKA,300000000,0
Bank Deposit,10233,7/3/2022,created on 02/04/2022 14:45:55,1-10101,1114,Bank BCA IDR 1 - Purchase (8887),9-90006,636,Rounding Gain/Loss - PEMBULATAN,11,0
Bank Deposit,10234,7/3/2022,created on 02/04/2022 14:58:00,1-10101,1114,Bank BCA IDR 1 - Purchase (8887),9-90006,636,Rounding Gain/Loss - PEMBULATAN,585.2,0
Bank Deposit,10235,8/3/2022,created on 02/04/2022 15:01:45,1-10101,1114,Bank BCA IDR 1 - Purchase (8887),9-90006,636,Rounding Gain/Loss - PEMBULATAN,0.95,0
Bank Deposit,10220,9/3/2022,created on 31/03/2022 18:23:23,1-10101,1114,Bank BCA IDR 1 - Purchase (8887),9-90006,636,Rounding Gain/Loss - PEMBULATAN,17.52,0
Bank Deposit,10221,9/3/2022,created on 31/03/2022 18:25:19,1-10101,1114,Bank BCA IDR 1 - Purchase (8887),9-90006,636,Rounding Gain/Loss - PEMBULATAN,10.35,0
Bank Deposit,10259,9/3/2022,created on 03/04/2022 22:13:52,1-10101,1114,Bank BCA IDR 1 - Purchase (8887),2-20402,1086,Other Current Liabilities - KKA - PINJAMAN DARI KKA,750000000,0
Bank Deposit,10270,9/3/2022,created on 26/04/2022 10:53:28,1-10102,1115,Bank BCA IDR 2 - Operational,9-90006,636,Rounding Gain/Loss - ROUNDING,0.5,0
Bank Deposit,10236,10/3/2022,created on 02/04/2022 15:03:52,1-10101,1114,Bank BCA IDR 1 - Purchase (8887),9-90006,636,Rounding Gain/Loss - PEMBULATAN,0.91,0
Bank Deposit,10237,10/3/2022,created on 02/04/2022 15:04:32,1-10101,1114,Bank BCA IDR 1 - Purchase (8887),9-90006,636,Rounding Gain/Loss - PEMBULATAN,2.16,0
Bank Deposit,10222,11/3/2022,created on 31/03/2022 18:33:48,1-10101,1114,Bank BCA IDR 1 - Purchase (8887),9-90006,636,Rounding Gain/Loss - PEMBULATAN,37.84,0
Bank Deposit,10238,11/3/2022,created on 02/04/2022 15:06:33,1-10101,1114,Bank BCA IDR 1 - Purchase (8887),9-90006,636,Rounding Gain/Loss - PEMBULATAN,0.25,0
Bank Deposit,10240,14/03/2022,created on 02/04/2022 18:41:27,1-10101,1114,Bank BCA IDR 1 - Purchase (8887),9-90006,636,Rounding Gain/Loss - PEMBULATAN,0.2,0
Bank Deposit,10266,14/03/2022,created on 06/04/2022 11:46:18,1-10106,1148,   Bank OCBC Giro Smart,8-80001,625,Interest Income - Pembayaran bunga deposito : DR 40382006926-4 KE 40380000197-2,5477260,0
Bank Deposit,10224,15/03/2022,created on 31/03/2022 19:18:30,1-10101,1114,Bank BCA IDR 1 - Purchase (8887),9-90006,636,Rounding Gain/Loss - PEMBULATAN,21.6,0
Bank Deposit,10241,15/03/2022,created on 02/04/2022 19:02:49,1-10101,1114,Bank BCA IDR 1 - Purchase (8887),9-90006,636,Rounding Gain/Loss - PEMBULATAN,20,0
Bank Deposit,10261,15/03/2022,created on 06/04/2022 11:21:43,1-10101,1114,Bank BCA IDR 1 - Purchase (8887),2-20400,1084,Other Current Liabilities - KELEBIHAN SETORAN refund ke husnia tgl 06 APRIL 2022,230958,0
Bank Deposit,10262,15/03/2022,created on 06/04/2022 11:21:56,1-10101,1114,Bank BCA IDR 1 - Purchase (8887),9-90006,636,Rounding Gain/Loss - PEMBULATAN,0.45,0
Bank Deposit,10223,16/03/2022,created on 31/03/2022 19:17:26,1-10101,1114,Bank BCA IDR 1 - Purchase (8887),9-90006,636,Rounding Gain/Loss - PEMBULATAN,74.85,0
Bank Deposit,10225,17/03/2022,created on 31/03/2022 19:19:36,1-10101,1114,Bank BCA IDR 1 - Purchase (8887),9-90006,636,Rounding Gain/Loss - PEMBULATAN,51.3,0
Bank Deposit,10226,17/03/2022,created on 31/03/2022 19:20:31,1-10101,1114,Bank BCA IDR 1 - Purchase (8887),9-90006,636,Rounding Gain/Loss - PEMBULATAN,0.7,0
Bank Deposit,10242,17/03/2022,created on 02/04/2022 19:22:21,1-10101,1114,Bank BCA IDR 1 - Purchase (8887),9-90006,636,Rounding Gain/Loss - PEMBULATAN,55.44,0
Bank Deposit,10265,17/03/2022,created on 06/04/2022 11:46:04,1-10106,1148,   Bank OCBC Giro Smart,8-80099,626,Other Income. - Pemindahbukuan : SMART BENEFIT CASHBACK FEB 2022,30000,0
Bank Deposit,10244,18/03/2022,created on 02/04/2022 19:40:27,1-10101,1114,Bank BCA IDR 1 - Purchase (8887),9-90006,636,Rounding Gain/Loss - PEMBULATAN,0.35,0
Bank Deposit,10267,18/03/2022,created on 06/04/2022 18:44:00,1-10101,1114,Bank BCA IDR 1 - Purchase (8887),9-90006,636,Rounding Gain/Loss - Pembulatan,0.92,0
Bank Deposit,10227,21/03/2022,created on 02/04/2022 09:25:39,1-10101,1114,Bank BCA IDR 1 - Purchase (8887),9-90006,636,Rounding Gain/Loss - PEMBULATAN,76.01,0
Bank Deposit,10228,21/03/2022,created on 02/04/2022 09:30:43,1-10101,1114,Bank BCA IDR 1 - Purchase (8887),9-90006,636,Rounding Gain/Loss - PEMBULATAN,0.42,0
Bank Deposit,10253,21/03/2022,created on 03/04/2022 16:37:50,1-10101,1114,Bank BCA IDR 1 - Purchase (8887),9-90006,636,Rounding Gain/Loss - PEMBULATAN,4,0
Bank Deposit,10229,22/03/2022,created on 02/04/2022 09:58:52,1-10101,1114,Bank BCA IDR 1 - Purchase (8887),9-90006,636,Rounding Gain/Loss - PEMBULATAN,73.94,0
Bank Deposit,10268,22/03/2022,created on 07/04/2022 17:21:58,1-10102,1115,Bank BCA IDR 2 - Operational,2-20400,1084,Other Current Liabilities - RINA OKTAVIANA - TRANSFER TIDAK DIKETAHUI,1963000,0
Bank Deposit,10232,23/03/2022,created on 02/04/2022 13:11:50,1-10101,1114,Bank BCA IDR 1 - Purchase (8887),9-90006,636,Rounding Gain/Loss - PEMBULATAN,28.14,0
Bank Deposit,10239,23/03/2022,created on 02/04/2022 18:26:22,1-10101,1114,Bank BCA IDR 1 - Purchase (8887),9-90006,636,Rounding Gain/Loss - PEMBULATAN,418.52,0
Bank Deposit,10243,23/03/2022,created on 02/04/2022 19:33:54,1-10101,1114,Bank BCA IDR 1 - Purchase (8887),9-90006,636,Rounding Gain/Loss - PEMBULATAN,0.35,0
Bank Deposit,10251,23/03/2022,created on 02/04/2022 22:44:31,1-10101,1114,Bank BCA IDR 1 - Purchase (8887),9-90006,636,Rounding Gain/Loss - PEMBULATAN,63,0
Bank Deposit,10231,25/03/2022,created on 02/04/2022 12:55:36,1-10101,1114,Bank BCA IDR 1 - Purchase (8887),9-90006,636,Rounding Gain/Loss - PEMBULATAN,55.62,0
Bank Deposit,10250,25/03/2022,created on 02/04/2022 22:39:56,1-10101,1114,Bank BCA IDR 1 - Purchase (8887),9-90006,636,Rounding Gain/Loss - PEMBULATAN,20,0
Bank Deposit,10264,25/03/2022,created on 06/04/2022 11:45:31,1-10106,1148,   Bank OCBC Giro Smart,8-80001,625,Interest Income - Bunga Rekening,142201,0
Bank Deposit,10248,28/03/2022,created on 02/04/2022 22:36:07,1-10101,1114,Bank BCA IDR 1 - Purchase (8887),9-90006,636,Rounding Gain/Loss - PEMBULATAN,0.27,0
Bank Deposit,10249,28/03/2022,created on 02/04/2022 22:37:59,1-10101,1114,Bank BCA IDR 1 - Purchase (8887),9-90006,636,Rounding Gain/Loss - PEMBULATAN,86.42,0
Bank Deposit,10255,28/03/2022,created on 03/04/2022 17:05:16,1-10101,1114,Bank BCA IDR 1 - Purchase (8887),9-90006,636,Rounding Gain/Loss - PEMBULATAN,19.03,0
Bank Deposit,10257,28/03/2022,created on 03/04/2022 22:11:42,1-10101,1114,Bank BCA IDR 1 - Purchase (8887),2-20402,1086,Other Current Liabilities - KKA - PINJAMAN DARI KKA,350000000,0
Bank Deposit,10254,29/03/2022,created on 03/04/2022 17:03:07,1-10101,1114,Bank BCA IDR 1 - Purchase (8887),9-90006,636,Rounding Gain/Loss - PEMBULATAN,270.53,0
Bank Deposit,10258,29/03/2022,created on 03/04/2022 22:12:02,1-10101,1114,Bank BCA IDR 1 - Purchase (8887),2-20402,1086,Other Current Liabilities - KKA - PINJAMAN DARI KKA,100000000,0
Bank Deposit,10246,30/03/2022,created on 02/04/2022 21:44:23,1-10101,1114,Bank BCA IDR 1 - Purchase (8887),9-90006,636,Rounding Gain/Loss - PEMBULATAN,0.73,0
Bank Deposit,10247,30/03/2022,created on 02/04/2022 21:46:57,1-10101,1114,Bank BCA IDR 1 - Purchase (8887),9-90006,636,Rounding Gain/Loss - PEMBULATAN,36.72,0
